name, timestamp, angle1, angle2
ads_eval_kit, 16:13:49, 7.6875, 0.5
ads_eval_kit, 16:13:49, 8.28125, 0.03125
ads_eval_kit, 16:13:49, 8.25, -0.1875
ads_eval_kit, 16:13:49, 7.8125, -0.3125
ads_eval_kit, 16:13:49, 7.90625, -0.53125
ads_eval_kit, 16:13:49, 7.875, -0.5625
ads_eval_kit, 16:13:49, 8.03125, -0.09375
ads_eval_kit, 16:13:49, 7.8125, 0.1875
ads_eval_kit, 16:13:49, 8.96875, -0.78125
ads_eval_kit, 16:13:49, 7.9375, -0.4375
ads_eval_kit, 16:13:49, 8.15625, -0.53125
ads_eval_kit, 16:13:49, 7.90625, -0.09375
ads_eval_kit, 16:13:49, 7.78125, 0.1875
ads_eval_kit, 16:13:49, 7.71875, -0.6875
ads_eval_kit, 16:13:49, 8.375, -0.09375
ads_eval_kit, 16:13:49, 8.21875, -0.40625
ads_eval_kit, 16:13:49, 8.53125, -0.59375
ads_eval_kit, 16:13:49, 8.375, 0
ads_eval_kit, 16:13:49, 8.46875, -0.15625
ads_eval_kit, 16:13:49, 8.03125, 0
ads_eval_kit, 16:13:49, 8.21875, -0.375
ads_eval_kit, 16:13:49, 8.5625, -0.59375
ads_eval_kit, 16:13:49, 7.9375, -0.375
ads_eval_kit, 16:13:49, 8.03125, -0.03125
ads_eval_kit, 16:13:49, 8.03125, 0.3125
ads_eval_kit, 16:13:49, 8.125, 0.4375
ads_eval_kit, 16:13:49, 7.0625, -0.1875
ads_eval_kit, 16:13:49, 8.375, -0.75
ads_eval_kit, 16:13:49, 8.4375, 0.25
ads_eval_kit, 16:13:49, 7.125, -0.8125
ads_eval_kit, 16:13:49, 7.84375, -0.1875
ads_eval_kit, 16:13:49, 7.78125, 0.375
ads_eval_kit, 16:13:49, 8, -0.375
ads_eval_kit, 16:13:49, 8.6875, 0.21875
ads_eval_kit, 16:13:49, 7.71875, -0.4375
ads_eval_kit, 16:13:49, 8.0625, 0.15625
ads_eval_kit, 16:13:49, 7.4375, 0.15625
ads_eval_kit, 16:13:49, 8.15625, -0.25
ads_eval_kit, 16:13:49, 7.96875, -0.09375
ads_eval_kit, 16:13:49, 9.34375, 0.125
ads_eval_kit, 16:13:49, 9, -0.4375
ads_eval_kit, 16:13:49, 9.25, 0.59375
ads_eval_kit, 16:13:49, 8.8125, 0.15625
ads_eval_kit, 16:13:49, 7.9375, -0.46875
ads_eval_kit, 16:13:49, 8, -0.4375
ads_eval_kit, 16:13:49, 7.90625, 0.1875
ads_eval_kit, 16:13:49, 8.5, 0.3125
ads_eval_kit, 16:13:49, 8.25, -0.25
ads_eval_kit, 16:13:49, 9.25, -0.8125
ads_eval_kit, 16:13:49, 8.3125, -0.375
ads_eval_kit, 16:13:49, 7.0625, -0.59375
ads_eval_kit, 16:13:49, 8.125, -0.46875
